"","date","city","houseSaleElec","housePercent","serviceUseElec","servicePercent","agriSaleElec","agriPercent","industrySaleElec","industryPercent","saleTotal","cityUseTotal","TotalUse","houseUse","agriUse","industryUse"
"83",2016-04-01,"屏東縣",105008391,0.3166,81273512,0.2451,55548383,0.1675,89805019,0.2708,331635305,0.0209,331593276.21379,104982431.249286,55541873.7658099,89795459.1986944
"84",2016-04-01,"台東縣",29721690,0.416,29168204,0.4083,2346023,0.0328,10210187,0.1429,71446104,0.0045,71438168.0137154,29718277.8937056,2343171.91084987,10208514.2091599
"85",2016-04-01,"花蓮縣",48877582,0.2613,53556578,0.2864,2104884,0.0113,82490360,0.4411,187029404,0.0118,186999224.860335,48862897.4560056,2113091.24092179,82485358.0858939
"86",2016-04-01,"基隆市",55964107,0.5018,38725888,0.3472,8019,1e-04,16827089,0.1509,111525103,0.007,111537695.852535,55969615.7788018,11153.7695852535,16831038.3041475
"87",2016-04-01,"新竹市",65857116,0.0822,94657273,0.1181,675762,8e-04,640231272,0.7989,801421423,0.0506,801501041.490263,65883385.6104996,641200.83319221,640319182.046571
"88",2016-04-01,"嘉義市",37379862,0.4414,40278590,0.4756,434736,0.0051,6588699,0.0778,84681887,0.0053,84690054.6677881,37382190.1303617,431919.278805719,6588886.25315391
"89",2016-04-01,"澎湖縣",11633174,0.4243,12041609,0.4392,378617,0.0138,3364643,0.1227,27418043,0.0017,27417142.5318761,11633093.576275,378356.566939891,3364083.3886612
"90",2016-04-01,"金門縣",8082411,0.4068,9497927,0.478,188759,0.0095,2100734,0.1057,19869831,0.0013,19870140.167364,8083173.02008368,188766.331589958,2100273.81569038
"91",2016-04-01,"連江縣",1729232,0.3985,2231810,0.5144,11695,0.0027,366227,0.0844,4338964,3e-04,4338666.40746501,1728958.56337481,11714.3993001555,366183.444790047
"92",2016-04-01,"合計",3262584029,0.2058,3435059610,0.2167,211097228,0.0133,8942375568,0.5641,15851116435,1,15851682556.5298,3262276270.13383,210827378.001846,8941934130.13844
"93",2016-05-01,"新北市",604572205,0.3688,570739114,0.3482,1914380,0.0012,461879880,0.2818,1639105579,0.0941,1639112906.37565,604504839.871338,1966935.48765078,461902017.016657
"94",2016-05-01,"台北市",402085514,0.3076,865853296,0.6623,1721030,0.0013,37697387,0.0288,1307357227,0.075,1307343040.91801,402138719.386381,1699545.95319342,37651479.5784388
"95",2016-05-01,"桃園市",306570151,0.1317,373590728,0.1605,2474562,0.0011,1644765640,0.7067,2327401081,0.1336,2327668087.22741,306553887.08785,2560434.89595016,1644963037.24361
"96",2016-05-01,"台中市",426337905,0.1895,552490274,0.2456,14605912,0.0065,1255965936,0.5584,2249400027,0.1291,2249553232.89902,426290337.634365,14622096.0138436,1256150525.25081
"97",2016-05-01,"台南市",281417812,0.1252,282869380,0.1259,31065343,0.0138,1651755944,0.7351,2247108479,0.129,2246778236.69579,281296635.234313,31005539.6664019,1651606681.79508
"98",2016-05-01,"高雄市",469701356,0.1939,501172441,0.2068,20098513,0.0083,1431928832,0.591,2422901142,0.1391,2423464414.89362,469909750.047872,20114754.643617,1432267469.20213
"99",2016-05-01,"宜蘭縣",62242608,0.2307,64895137,0.2405,6337220,0.0235,136324766,0.5053,269799731,0.0155,269834249.480249,62250761.3550935,6341104.86278586,136347246.26237
"100",2016-05-01,"新竹縣",78998932,0.1012,75346717,0.0965,1692163,0.0022,624792999,0.8002,780830811,0.0448,780794994.818653,79016453.4756477,1717748.98860104,624792154.853886
"101",2016-05-01,"苗栗縣",77013635,0.1281,66808114,0.1111,1900277,0.0032,455383362,0.7576,601105388,0.0345,601333159.315932,77030777.7083708,1924266.10981098,455570001.49775
"102",2016-05-01,"彰化縣",171823739,0.1977,159820927,0.1838,37018882,0.0426,500638315,0.5759,869301863,0.0499,869537143.634385,171907493.296518,37042282.3188248,500766441.019042
"103",2016-05-01,"南投縣",59037370,0.2634,54977671,0.2453,9421585,0.042,100678865,0.4492,224115491,0.0129,224124219.323278,59034319.3697513,9413217.21157766,100676599.320016
"104",2016-05-01,"雲林縣",99526447,0.2229,73244602,0.1641,30686025,0.0687,242964326,0.5442,446421400,0.0256,446341267.519805,99489468.5301645,30663645.0786106,242898917.784278
"105",2016-05-01,"嘉義縣",68855844,0.3132,51934171,0.2362,19463340,0.0885,79592911,0.362,219846266,0.0126,219873712.955123,68864446.8975444,19458823.5965284,79594284.0897544
"106",2016-05-01,"屏東縣",128096141,0.3302,97285150,0.2508,63466206,0.1636,99086574,0.2554,387934071,0.0223,387899322.169059,128084356.180223,63460329.106858,99069486.8819777
"107",2016-05-01,"台東縣",28455382,0.3751,33964906,0.4478,2746274,0.0362,10690031,0.1409,75856593,0.0044,75848383.2067887,28450728.5408665,2745711.47208575,10687037.1938365
"108",2016-05-01,"花蓮縣",45597542,0.2304,63244915,0.3195,2490016,0.0126,86611761,0.4376,197944234,0.0114,197949655.71205,45607600.6760563,2494165.66197183,86622769.3395931
"109",2016-05-01,"基隆市",47697430,0.4265,46289228,0.4139,7935,1e-04,17836331,0.1595,111830924,0.0064,111836743.17468,47698370.964001,11183.674317468,17837960.5363614
"110",2016-05-01,"新竹市",74733536,0.0852,112995295,0.1288,748821,9e-04,688592267,0.7851,877069919,0.0503,877292663.043478,74745334.8913043,789563.39673913,688762469.755435
"111",2016-05-01,"嘉義市",40169126,0.404,50979647,0.5127,568597,0.0057,7718279,0.0776,99435649,0.0057,99433678.5644626,40171206.1400429,566771.967817437,7716053.4566023
"112",2016-05-01,"澎湖縣",13778610,0.3955,16707523,0.4796,460034,0.0132,3887897,0.1116,34834064,0.002,34836369.8915763,13777784.2921184,459840.082568807,3887738.87989992
"113",2016-05-01,"金門縣",9187504,0.3673,12373508,0.4947,257377,0.0103,3195302,0.1277,25013691,0.0014,25012144.7341823,9186960.76086517,257625.090762078,3194050.88255508
"114",2016-05-01,"連江縣",2334374,0.4283,2629489,0.4824,18339,0.0034,468599,0.086,5450801,3e-04,5450847.84411277,2334598.1316335,18532.8826699834,468772.914593698
"115",2016-05-01,"合計",3498233163,0.2008,4130212233,0.2371,249162831,0.0143,9542456204,0.5478,17420064431,1,17419705748.6293,3497876914.32476,249101792.205399,9542514809.09911
"116",2016-06-01,"新北市",653053616,0.3887,567647931,0.3379,1876533,0.0011,457468570,0.2723,1680046650,0.0952,1679928768.86653,652988312.45842,1847921.64575318,457444603.762356
"117",2016-06-01,"台北市",432604003,0.3181,887239304,0.6524,1810062,0.0013,38310628,0.0282,1359963997,0.0771,1359962145.92275,432603958.618026,1767950.78969957,38350932.5150215
"118",2016-06-01,"桃園市",378144999,0.1569,398329001,0.1653,2522225,0.001,1631041196,0.6768,2410037421,0.1366,2409733823.35148,378087236.883848,2409733.82335148,1630907851.64428
"119",2016-06-01,"台中市",471738518,0.2082,558638660,0.2466,14888164,0.0066,1220312238,0.5386,2265577580,0.1284,2265363584.75264,471648698.345499,14951399.6593674,1220124826.74777
"120",2016-06-01,"台南市",327683733,0.1435,296438479,0.1298,33307401,0.0146,1625906226,0.7121,2283335839,0.1294,2283809545.45455,327726669.772727,33343619.3636364,1626300777.31818
"121",2016-06-01,"高雄市",434130982,0.188,511436356,0.2214,19601298,0.0085,1344361913,0.5821,2309530549,0.1309,2310010641.37308,434282000.578139,19635090.4516712,1344657194.34327
"122",2016-06-01,"宜蘭縣",67752668,0.252,63990565,0.238,6471010,0.0241,130608674,0.4859,268822917,0.0152,268867920.168067,67754715.8823529,6479716.87605042,130642922.409664
"123",2016-06-01,"新竹縣",94975446,0.1182,86061277,0.1071,1679930,0.0021,620904261,0.7726,803620914,0.0456,803560009.337068,94980793.1036415,1687476.01960784,620830463.213819
"124",2016-06-01,"苗栗縣",72501496,0.1235,66888952,0.1139,2171242,0.0037,445667471,0.7589,587229161,0.0333,587260333.625988,72526651.2028095,2172863.23441615,445671867.188762
"125",2016-06-01,"彰化縣",192662845,0.2157,172775445,0.1935,40272767,0.0451,487313208,0.5457,893024265,0.0506,892896356.589147,192597744.116279,40269625.6821705,487253541.790698
"126",2016-06-01,"南投縣",77354022,0.3143,60464993,0.2456,10036613,0.0408,98296716,0.3993,246152344,0.014,246192968.241042,77378449.9181596,10044673.1042345,98304852.2186482
"127",2016-06-01,"雲林縣",110968034,0.242,72213637,0.1575,34129551,0.0744,241327619,0.5262,458638841,0.026,458499282.539683,110956826.374603,34112346.6209524,241262322.472381
"128",2016-06-01,"嘉義縣",72162749,0.3204,52558008,0.2334,22253467,0.0988,78220700,0.3473,225194924,0.0128,225184267.352185,72149039.2596401,22248205.6143959,78206496.0514139
"129",2016-06-01,"屏東縣",133208562,0.3427,97905902,0.2519,62714644,0.1613,94906111,0.2441,388735219,0.022,388669718.14212,133197112.407304,62692425.5363239,94874278.1984915
"130",2016-06-01,"台東縣",34654558,0.414,35437998,0.4233,2921261,0.0349,10695017,0.1278,83708834,0.0047,83718398.2990787,34659416.8958186,2921772.10063785,10699211.3026223
"131",2016-06-01,"花蓮縣",54273213,0.2615,64173502,0.3091,2528795,0.0122,86607509,0.4172,207583019,0.0118,207614047.233905,54291073.3516661,2532891.37625364,86616580.5059851
"132",2016-06-01,"基隆市",58410296,0.4619,49190324,0.389,7159,1e-04,18848143,0.149,126455922,0.0072,126453275.064267,58408767.7521851,12645.3275064267,18841537.9845758
"133",2016-06-01,"新竹市",75417131,0.0862,117583108,0.1343,793867,9e-04,681464292,0.7786,875258398,0.0496,875525748.324646,75470319.5055845,787973.173492182,681684347.64557
"134",2016-06-01,"嘉義市",44887835,0.4343,50344383,0.4871,639153,0.0062,7488999,0.0725,103360370,0.0059,103355333.607062,44887221.3855471,640803.068363786,7493261.68651201
"135",2016-06-01,"澎湖縣",13463284,0.4058,15332682,0.4622,501190,0.0151,3879127,0.1169,33176283,0.0019,33173262.6568585,13461709.9861532,500916.266118563,3877954.40458676
"136",2016-06-01,"金門縣",8245461,0.3379,12511525,0.5127,239184,0.0098,3405127,0.1395,24401297,0.0014,24403208.5039984,8245844.15350107,239151.443339185,3404247.58630778
