"","date","city","house","agri","industry","Total"
"127",2016-06-01,"新竹市",75470319.5055845,787973.173492182,681684347.64557,875525748.324646
"128",2016-06-01,"新竹縣",94980793.1036415,1687476.01960784,620830463.213819,803560009.337068
"129",2016-06-01,"嘉義市",44887221.3855471,640803.068363786,7493261.68651201,103355333.607062
"130",2016-06-01,"嘉義縣",72149039.2596401,22248205.6143959,78206496.0514139,225184267.352185
"131",2016-06-01,"彰化縣",192597744.116279,40269625.6821705,487253541.790698,892896356.589147
"132",2016-06-01,"澎湖縣",13461709.9861532,500916.266118563,3877954.40458676,33173262.6568585
"133",2016-07-01,"台中市",560148636.504635,15778834.8311165,1277839077.0262,2465442942.36195
"134",2016-07-01,"台北市",552684318.14343,1898171.67078453,41285233.8395636,1581809725.65378
"135",2016-07-01,"台東縣",35145556.9338557,2963051.33994008,10379243.4219866,85637321.9635861
"136",2016-07-01,"台南市",371389088.412698,37138908.8412698,1685627249.66667,2396058634.92063
"137",2016-07-01,"宜蘭縣",81331374.8727273,7554374.89454545,140334698.141818,304611890.909091
"138",2016-07-01,"花蓮縣",57648690.8538413,3163377.89412867,89570049.6036852,221215237.351655
"139",2016-07-01,"金門縣",11560905.3001417,306168.042906294,3618906.2671524,30616804.2906294
"140",2016-07-01,"南投縣",67073518.1008772,10059841.4130781,100598414.130781,237260410.685805
"141",2016-07-01,"屏東縣",165812334.197582,65708240.3459775,98584075.0729471,434291079.616507
"142",2016-07-01,"苗栗縣",106194146.936207,2871876.13103448,467854729.710345,652699120.689655
"143",2016-07-01,"桃園市",380380438.87822,3246845.5058548,1687610391.00468,2497573466.04215
"144",2016-07-01,"高雄市",637681447.336909,21195735.1769868,1396075191.35251,2584845753.29108
"145",2016-07-01,"基隆市",61824156.7827828,13534.1849349349,19435089.5665666,135341849.349349
"146",2016-07-01,"連江縣",2364211.34663582,20061.4488143435,541659.117987276,6079226.91343744
"147",2016-07-01,"雲林縣",129492224.047589,38401488.0450845,253319476.621165,501324909.204759
"148",2016-07-01,"新北市",818461340.776492,1965565.17957851,482742808.104482,1965565179.57851
"149",2016-07-01,"新竹市",103443926.541168,839490.83757485,703866428.926647,932767597.305389
"150",2016-07-01,"新竹縣",101235945.057505,2096850.56042885,649352681.553606,838740224.17154
"151",2016-07-01,"嘉義市",52297697.9710388,625072.087303253,7674496.18300105,115754090.241343
"152",2016-07-01,"嘉義縣",87574994.8368087,23702633.9301904,83183770.0244787,249501409.791478
"153",2016-07-01,"彰化縣",220898369.730193,45529397.2034261,506526425.254818,950509336.188437
"154",2016-07-01,"澎湖縣",18837843.2756522,576226.57673913,3981595.66934783,43325306.5217391
"155",2016-08-01,"台中市",609349245.723881,16035506.4664179,1305748383.69403,2545318486.733
"156",2016-08-01,"台北市",620401876.762288,1973706.92501258,41941272.1565174,1644755770.84382
"157",2016-08-01,"台東縣",43232915.889138,2896805.47284504,10901136.3846537,95289653.712008
"158",2016-08-01,"台南市",409878077.25,39212162.625,1703386209.125,2466173750
"159",2016-08-01,"宜蘭縣",96745312.8260315,7513575.57294768,141345126.803913,321092973.202892
"160",2016-08-01,"花蓮縣",72749428.4972991,3295024.26063471,89601124.001688,235358875.759622
"161",2016-08-01,"金門縣",11826281.3764656,309261.569814538,3651665.45896397,29736689.4052441
"162",2016-08-01,"南投縣",90665525.0991769,11248285.1037037,103761354.616049,271697707.81893
"163",2016-08-01,"屏東縣",156536685.791459,63771079.0592869,99940380.6832504,422045526.533997
"164",2016-08-01,"苗栗縣",105303873.214408,2767766.83876501,460479161.965695,643666706.689537
"165",2016-08-01,"桃園市",537447816.843882,3514497.79626281,1714263886.62327,2703459843.27908
"166",2016-08-01,"高雄市",531615200.867166,21850601.4368569,1398686794.2479,2483022890.55192
"167",2016-08-01,"基隆市",85152496.2627485,0,19390686.9075194,160121279.170268
"168",2016-08-01,"連江縣",2202357.71629815,21535.8534236805,558031.966654779,6334074.5363766
"169",2016-08-01,"雲林縣",131940686.881735,38785043.1228646,262501668.672142,511001885.676741
"170",2016-08-01,"新北市",929934315.033494,2072507.9452496,496987405.270854,2072507945.2496
"171",2016-08-01,"新竹市",109285005.738149,943739.255079007,708087563.085779,943739255.079007
"172",2016-08-01,"新竹縣",135874588.399819,2121659.15523466,648078469.459386,884024648.01444
"173",2016-08-01,"嘉義市",56007236.7251154,641304.237310481,8063806.98395957,118760043.946385
"174",2016-08-01,"嘉義縣",85292050.1914221,24067558.7173815,84000499.0528217,248375218.961625
"175",2016-08-01,"彰化縣",249855260.178909,47079998.8043022,515571159.613851,1003837927.59706
"176",2016-08-01,"澎湖縣",17469557.8736026,605244.524754734,4000902.11818389,39301592.5165412
"177",2016-09-01,"台中市",633471541.464371,15195345.6662708,1213136613.0285,2491040273.15914
"178",2016-09-01,"台北市",658400593.876289,1839107.80412371,38788455.5051546,1671916185.56701
"179",2016-09-01,"台東縣",38395146.0388067,2517141.37472714,10453128.7644919,87400742.1780257
"180",2016-09-01,"台南市",400927241.670008,38769455.3323053,1580958028.82035,2321524271.39553
"181",2016-09-01,"宜蘭縣",98566252.1943574,7097013.8322884,121197502.311912,304592868.338558
"182",2016-09-01,"花蓮縣",66287566.0683249,3018077.94993703,81025479.5610831,220297660.579345
"183",2016-09-01,"金門縣",13474901.9154657,290666.114003011,3140457.79694558,31594142.8264143
"184",2016-09-01,"南投縣",74317414.7902651,10395377.8789078,93463030.4709141,238426098.140087
"185",2016-09-01,"屏東縣",166917339.647083,60818396.7768258,86728700.0611995,416564361.485108
"186",2016-09-01,"苗栗縣",124770804.191714,2543810.528026,416750617.481722,620441592.201462
"187",2016-09-01,"桃園市",451567513.208285,2964338.16110472,1586414972.55121,2470281800.9206
"188",2016-09-01,"高雄市",662315672.894611,20728210.3290415,1267135238.567,2467644086.79065
"189",2016-09-01,"基隆市",75172351.9852338,14745.459392945,18343351.4848236,147454593.92945
"190",2016-09-01,"連江縣",2801596.77210951,24462.1595430372,519141.38585779,6795044.31751034
"191",2016-09-01,"雲林縣",139336168.617866,37132735.2915633,247298964.968983,505207282.878412
"192",2016-09-01,"新北市",983659459.554731,2135141.00185529,458841801.298701,2135141001.85529
"193",2016-09-01,"新竹市",120360104.255004,826901.479614529,673649072.059303,918779421.793921
"194",2016-09-01,"新竹縣",121683167.397533,1902592.01233397,616357090.604364,827213918.406072
"195",2016-09-01,"嘉義市",56194556.7564103,571107.076923077,7460086.19230769,118980641.025641
"196",2016-09-01,"嘉義縣",95336591.7176471,23093645.1764706,77112693.4588235,251017882.352941
"197",2016-09-01,"彰化縣",250313376.983539,45451140.0967078,468649647.05144,948875576.131687
"198",2016-09-01,"澎湖縣",20578977.0827068,533888.556390977,3644561.55023923,44123021.189337
"199",2016-10-01,"台中市",555037042.186734,15186362.1427968,1299413728.50866,2449413248.83819
"200",2016-10-01,"台北市",553439288.88319,1802244.63136995,38898446.6270682,1501870526.14163
"201",2016-10-01,"台東縣",37864005.8877176,2366500.36798235,10354507.0252513,85433226.2809512
"202",2016-10-01,"台南市",366641597.944618,36405796.0803432,1644602478.41654,2348761037.4415
"203",2016-10-01,"宜蘭縣",84936515.3006536,6255359.41655773,137202859.620044,296462531.590414
"204",2016-10-01,"花蓮縣",64234253.1920327,2653394.27987743,89264605.8988764,221116189.989785
"205",2016-10-01,"金門縣",10639716.3669202,241389.725602028,3085013.74588086,26526343.4727503
"206",2016-10-01,"南投縣",87500820.1293103,10029636.1034483,97969899.0517241,258495775.862069
"207",2016-10-01,"屏東縣",135431128.58749,54347643.5585907,94870343.4509105,380852442.596991
"208",2016-10-01,"苗栗縣",89699965.2713178,2284583.56589147,439421612.713178,601206201.550388
"209",2016-10-01,"桃園市",466662177.485402,2764288.61192214,1630678982.06934,2512989647.20195
"210",2016-10-01,"高雄市",466807088.989889,19440042.1877708,1463416846.71738,2460764833.89504
"211",2016-10-01,"基隆市",76199821.6706827,14575.3293172691,18729298.1726908,145753293.172691
"212",2016-10-01,"連江縣",2388710.93596059,21054.3431855501,473403.716475096,6380103.99562124
"213",2016-10-01,"雲林縣",117057703.653115,32723721.3862295,261692668.059016,485515154.098361
"214",2016-10-01,"新北市",832186426.466312,1904752.63553745,462854890.4356,1904752635.53745
"215",2016-10-01,"新竹市",94252344.5941265,814861.768825301,690097377.998494,905401965.361446
"216",2016-10-01,"新竹縣",119822568.206128,1873558.28040854,638202079.699164,851617400.185701
"217",2016-10-01,"嘉義市",50518203.602043,539653.799106193,7312859.64503086,110133428.389019
"218",2016-10-01,"嘉義縣",77214324.7527273,21456486.8595455,90034998.9754545,241899513.636364
"219",2016-10-01,"彰化縣",227176391.975334,40553645.2230216,497185790.966084,949734080.16444
"220",2016-10-01,"澎湖縣",15842116.2556701,482645.118900344,3673071.30927835,35488611.6838488
"221",2016-11-01,"台中市",515280237.782537,13894668.2034596,1253817178.22405,2355028509.06096
"222",2016-11-01,"台北市",489539610.360985,1516456.12896954,36670666.3914452,1378596480.8814
"223",2016-11-01,"台東縣",31629097.1094123,2342048.43526039,10382827.1022456,76288222.6469183
"224",2016-11-01,"台南市",333087332.319301,34088536.3510723,1580326721.16442,2228008911.83479
"225",2016-11-01,"宜蘭縣",72429191.6119277,5228014.22091558,137652201.459891,282595363.292734
"226",2016-11-01,"花蓮縣",51365629.5679419,2598735.40897098,87504293.8489446,203026203.825857
"227",2016-11-01,"金門縣",10377243.9900559,240070.569919204,2736288.21628341,25814039.7762585
"228",2016-11-01,"南投縣",65959951.252497,10083194.1969636,93853012.0535358,226588633.639632
"229",2016-11-01,"屏東縣",143915038.594694,57652356.6118367,94739815.4261225,392459881.632653
"230",2016-11-01,"苗栗縣",93176461.3567202,2261283.13186813,415844169.788673,579816187.658495
"231",2016-11-01,"桃園市",337393752.438671,2731933.21812689,1559933867.55045,2276611015.10574
"232",2016-11-01,"高雄市",565841058.136082,19485582.0556701,1454332987.9732,2530595072.16495
"233",2016-11-01,"基隆市",55429048.5754277,11976.8903576983,18121035.1111975,119768903.576983
"234",2016-11-01,"連江縣",2695701.62280702,19991.298245614,397327.052631579,6247280.70175439
"235",2016-11-01,"雲林縣",112106910.937617,31382451.9145353,249235597.99189,467696749.844042
"236",2016-11-01,"新北市",728388762.487633,1774826.41931684,441931778.409894,1774826419.31684
"237",2016-11-01,"新竹市",90753545.0045455,761213.331818182,642633210.572727,845792590.909091
"238",2016-11-01,"新竹縣",92594046.0285714,1619046.6,598507559.8,770974571.428571
"239",2016-11-01,"嘉義市",47077779.1347518,568979.425531915,7207072.72340426,105366560.283688
"240",2016-11-01,"嘉義縣",79574716.0270144,20911551.1690731,88729542.575687,240916488.122962
"241",2016-11-01,"彰化縣",201872393.723125,39380923.3392764,489642168.399581,903232186.68065
"242",2016-11-01,"澎湖縣",16341710.8380486,461421.697482736,3540027.26308755,36913735.7986188
"243",2016-12-01,"台中市",438684560.668566,12948450.1367821,1271627103.08812,2232491402.89347
